country_name,avg_pm25,Country Code_x,year,population_density,Country Code_y,gdp_per_capita,log_gdp,gdp_group
canada,6.486288481141692,CAN,1998.0,3.36343430828311,CAN,21024.5850687045,9.953447749507502,High
canada,6.486288481141692,CAN,1999.0,3.39088515089358,CAN,22315.2466731545,10.013025431143188,High
canada,6.486288481141692,CAN,2000.0,3.42261133957721,CAN,24271.0020563821,10.097037585729147,High
canada,6.486288481141692,CAN,2001.0,3.45999036315513,CAN,23822.096210932,10.078368841175534,High
canada,6.486288481141692,CAN,2002.0,3.497728426127,CAN,24256.0192337185,10.096420081388622,High
canada,6.486288481141692,CAN,2003.0,3.529322777419,CAN,28301.8645937428,10.250682968165588,High
canada,6.486288481141692,CAN,2004.0,3.56237648609852,CAN,32145.5412620217,10.378029034574382,High
canada,6.486288481141692,CAN,2005.0,3.59627553791775,CAN,36383.6600068095,10.501875051926827,High
canada,6.486288481141692,CAN,2006.0,3.63291127522004,CAN,40504.0370977806,10.609156929553448,High
canada,6.486288481141692,CAN,2007.0,3.66834597611535,CAN,44660.0838892281,10.706835403789789,High
canada,6.486288481141692,CAN,2008.0,3.70832237476842,CAN,46710.2526864484,10.75171896316785,High
canada,6.486288481141692,CAN,2009.0,3.75101571675707,CAN,40874.8831932903,10.618271050538965,High
canada,6.486288481141692,CAN,2010.0,3.79293521117963,CAN,47560.6666009406,10.769761366706087,High
canada,6.486288481141692,CAN,2011.0,3.83011279793076,CAN,52223.8588398531,10.8632947353455,High
canada,6.486288481141692,CAN,2012.0,3.8718472515473,CAN,52670.3447335415,10.871807857615337,High
canada,6.486288481141692,CAN,2013.0,3.91284812265562,CAN,52638.1187235237,10.871195826825678,High
canada,6.486288481141692,CAN,2014.0,3.9522291338328,CAN,50960.8431174661,10.838812834800432,High
canada,6.486288481141692,CAN,2015.0,3.98239245827659,CAN,43594.1941045394,10.682679257730259,High
canada,6.486288481141692,CAN,2016.0,4.02771072511681,CAN,42314.0615817218,10.652874734893194,High
canada,6.486288481141692,CAN,2017.0,4.07614836279598,CAN,45129.628116623,10.717294252517275,High
canada,6.486288481141692,CAN,2018.0,4.13498944297029,CAN,46539.1761570405,10.748049734874089,High
canada,6.486288481141692,CAN,2019.0,4.19587500655283,CAN,46352.8693445211,10.744038475108562,High
canada,6.486288481141692,CAN,2020.0,4.24162135453439,CAN,43537.839298904,10.68138570790037,High
canada,6.486288481141692,CAN,2021.0,4.351026204103,CAN,52886.6616372703,10.875906443090255,High
canada,6.486288481141692,CAN,2022.0,4.43022676846405,CAN,56256.8007264015,10.937682214561326,High
canada,6.486288481141692,CAN,2023.0,4.56079784268436,CAN,54220.3285039875,10.90081118175779,High
chile,24.152309999999996,CHL,1961.0,11.1962928293604,CHL,594.436306222113,6.387613571992644,Low
chile,24.152309999999996,CHL,1962.0,11.4279667855587,CHL,678.584336588862,6.520008770133932,Low
chile,24.152309999999996,CHL,1963.0,11.6607543454754,CHL,657.719196593697,6.488778087343268,Low
chile,24.152309999999996,CHL,1964.0,11.892595073245,CHL,685.970202891974,6.530834190764984,Low
chile,24.152309999999996,CHL,1965.0,12.1217889747852,CHL,686.123541995524,6.531057701884045,Low
chile,24.152309999999996,CHL,1966.0,12.3487919820532,CHL,790.361773771396,6.672490782120647,Low
chile,24.152309999999996,CHL,1967.0,12.5736874808347,CHL,764.265128656993,6.638914756004514,Low
chile,24.152309999999996,CHL,1968.0,12.7966462774971,CHL,765.847401648627,6.640982935336807,Low
chile,24.152309999999996,CHL,1969.0,13.0193212935018,CHL,873.581889905917,6.772601874356711,Low
chile,24.152309999999996,CHL,1970.0,13.2413184637648,CHL,940.648345061287,6.846569366299069,Low
chile,24.152309999999996,CHL,1971.0,13.4623674569487,CHL,1098.91469956231,7.002078334978491,Low
chile,24.152309999999996,CHL,1972.0,13.6842503079894,CHL,1185.04994801594,7.077540202905357,Low
chile,24.152309999999996,CHL,1973.0,13.9070840259733,CHL,1666.99542750899,7.418778139801015,Medium
chile,24.152309999999996,CHL,1974.0,14.129609754523,CHL,1578.5836760852,7.364283316466497,Medium
chile,24.152309999999996,CHL,1975.0,14.3525214785645,CHL,732.054406775965,6.5958548373959305,Low
chile,24.152309999999996,CHL,1976.0,14.5767108880317,CHL,970.957314866348,6.878282507352192,Low
chile,24.152309999999996,CHL,1977.0,14.8016749783466,CHL,1296.86854720323,7.167707827756163,Low
chile,24.152309999999996,CHL,1978.0,15.026515334915,CHL,1465.45605636916,7.289921774282856,Low
chile,24.152309999999996,CHL,1979.0,15.2512319577369,CHL,1962.08185606537,7.5817613599815115,Medium
chile,24.152309999999996,CHL,1980.0,15.4782174808885,CHL,2570.84311890682,7.851989185920196,Medium
chile,24.152309999999996,CHL,1981.0,15.7070805291501,CHL,3012.3447816477,8.010474051707215,Medium
chile,24.152309999999996,CHL,1982.0,15.9377323370077,CHL,1663.28043251256,7.416547095471028,Medium
chile,24.152309999999996,CHL,1983.0,16.1743381589494,CHL,1715.40345654344,7.447403583561543,Medium
chile,24.152309999999996,CHL,1984.0,16.4185710904171,CHL,1636.22476246476,7.400146893095845,Medium
chile,24.152309999999996,CHL,1985.0,16.6708009877181,CHL,1446.80604557863,7.277113678655493,Low
chile,24.152309999999996,CHL,1986.0,16.9312336254526,CHL,1524.97809458987,7.3297353247349815,Medium
chile,24.152309999999996,CHL,1987.0,17.2018823668652,CHL,1767.41389670161,7.477272681846706,Medium
chile,24.152309999999996,CHL,1988.0,17.4833416719119,CHL,2013.53987790886,7.6076495853642525,Medium
chile,24.152309999999996,CHL,1989.0,17.7732834632538,CHL,2277.84764297202,7.730986259844189,Medium
chile,24.152309999999996,CHL,1990.0,18.0720883566545,CHL,2487.76829657299,7.819141321135291,Medium
chile,24.152309999999996,CHL,1991.0,18.3751217163485,CHL,2798.34262413795,7.9367826009587885,Medium
chile,24.152309999999996,CHL,1992.0,18.6738122905268,CHL,3351.84108855522,8.11726505252926,Medium
chile,24.152309999999996,CHL,1993.0,18.9666026479022,CHL,3540.91377313015,8.172140100821386,Medium
chile,24.152309999999996,CHL,1994.0,19.2543912030686,CHL,4012.10159912285,8.297070472570468,Medium
chile,24.152309999999996,CHL,1995.0,19.5383399772975,CHL,5081.4682771561,8.533355529747373,Medium
chile,24.152309999999996,CHL,1996.0,19.8162903546855,CHL,5333.50438729711,8.581763784657701,Medium
chile,24.152309999999996,CHL,1997.0,20.0831087296848,CHL,5741.95842989596,8.655555620998927,Medium
chile,24.152309999999996,CHL,1998.0,20.3458613751661,CHL,5419.82417297191,8.597818653496404,Medium
chile,24.152309999999996,CHL,1999.0,20.6034346874109,CHL,4933.55581516755,8.503815267736325,Medium
